Id,gratuidade,sentenca
00009033220158150611,False,Extinto
00009044020128150411,False,Extinto
00009063620168150551,False,Improcedente
00009073020148150021,False,Nenhuma Sentença
00009119620168150021,False,Improcedente
00009139720098150381,False,Nenhuma Sentença
00009167020068150021,False,Extinto
00009171220148150171,False,Procedente
00009197820158150451,False,Nenhuma Sentença
00009220820138151161,True,Outros
00009242920038152001,False,Nenhuma Sentença
00009273420148150631,False,Nenhuma Sentença
00009274620158150551,False,Improcedente
00009287020138150011,False,Improcedente
00009299820078150291,False,Nenhuma Sentença
00009300220048152001,False,Extinto
00009336220138150021,False,Improcedente
00009344320138150281,False,Procedente
00009346320158150381,False,Improcedente
00009380820158150541,False,Parcialmente
00009388820078150411,False,Nenhuma Sentença
00009399020168150271,False,Procedente
00009409420138150331,False,Improcedente
00009416020168150271,False,Extinto
00009418720158150241,False,Improcedente
00009442920138150171,False,Procedente
00009448720148150011,False,Procedente
00009451320128150021,False,Procedente
00009457220148150011,False,Extinto
00009467820068150321,True,Extinto
00009478120168150331,False,Improcedente
00009489220148150151,True,Extinto
00009497520148150281,False,Improcedente
00009506220148150151,False,Extinto
00009508520138150381,False,Improcedente
00009559719988150231,False,Extinto
00009563120158150411,False,Extinto
00009564820138150331,False,Acordo
00009614120158150221,False,Extinto
00009690720138150021,False,Procedente
00009707520128150231,False,Improcedente
00009719820108150241,False,Nenhuma Sentença
00009754220168150301,False,Extinto
00009769420138150151,False,Nenhuma Sentença
00009803920128150581,True,Acordo
00009817420128150241,False,Extinto
00009824320148150741,False,Nenhuma Sentença
00009843520078150231,False,Extinto
00009848620158150091,True,Parcialmente
00009856520148150751,False,Extinto
00009859120128150571,False,Parcialmente
00009880820148150561,True,Improcedente
00009910520148150741,False,Nenhuma Sentença
00009925020138150021,False,Extinto
00009971520148152001,False,Nenhuma Sentença
00010009020148150021,False,Extinto
00010056420118150071,False,Nenhuma Sentença
00010086220058150351,False,Nenhuma Sentença
00010098120128150131,False,Extinto
00010110420108150331,False,Acordo
00010136720158150211,False,Improcedente
00010160820158150151,False,Extinto
00010169120138150631,False,Outros
00010222620068150411,False,Outros
00010232120158150241,False,Extinto
00010237920128150191,True,Procedente
00010256120128150381,False,Extinto
00010276420108150231,False,Acordo
00010276920108150391,False,Outros
00010297420158150161,False,Parcialmente
00010307720148150231,False,Parcialmente
00010308320128150381,False,Nenhuma Sentença
00010329120148150281,False,Improcedente
00010354820148150151,False,Nenhuma Sentença
00010395920158150601,False,Acordo
00010403220118150521,False,Outros
00010413620158150631,False,Procedente
00010427620098150131,False,Extinto
00010451920158150261,False,Outros
00010452720148150981,False,Procedente
00010477520128150331,False,Acordo
00010549320148150041,False,Improcedente
00010554420078150261,False,Nenhuma Sentença
00010591220008150331,False,Improcedente
00010595220148150741,False,Improcedente
00010622820058150351,False,Nenhuma Sentença
00010667120158150171,False,Nenhuma Sentença
00010728520108150581,False,Procedente
00010730320138150731,False,Nenhuma Sentença
00010736120128150141,False,Extinto
00010757920138150631,False,Extinto
00010759420128150411,False,Extinto
00010768420098150411,False,Nenhuma Sentença
00010807420158150391,False,Acordo
00010870220028150301,False,Nenhuma Sentença
00010873520118150091,False,Extinto
00010886820128150581,False,Procedente
00010892720128150331,False,Nenhuma Sentença
00010916520068150441,False,Improcedente
00010940920128150021,False,Nenhuma Sentença
00010943520168150161,False,Improcedente
00010951520158150271,False,Extinto
00011004120228152001,False,Extinto
00011027720058150361,False,Nenhuma Sentença
